network-number             host-bits    netmask
67.212.131.103               0.0.0.0    255.255.255.255     
67.212.131.104               0.0.0.1    255.255.255.254     
67.212.131.106               0.0.0.0    255.255.255.255     
70.37.0.0                0.0.255.255    255.255.0.0         
74.43.216.167                0.0.0.0    255.255.255.255     
74.43.216.168                0.0.0.0    255.255.255.255     
74.43.216.244                0.0.0.1    255.255.255.254     
74.43.216.247                0.0.0.0    255.255.255.255     
74.43.219.0                0.0.0.255    255.255.255.0       
94.245.68.0                0.0.3.255    255.255.252.0       
111.221.70.0               0.0.1.255    255.255.254.0       
202.89.232.0               0.0.7.255    255.255.248.0       
207.46.0.0               0.0.255.255    255.255.0.0         
207.68.146.217               0.0.0.0    255.255.255.255     
207.68.168.0               0.0.0.255    255.255.255.0       
207.68.172.235               0.0.0.0    255.255.255.255     
207.68.178.0               0.0.0.127    255.255.255.128     
207.68.179.192              0.0.0.31    255.255.255.224     
213.199.148.0              0.0.1.255    255.255.254.0       
213.199.174.0              0.0.0.127    255.255.255.128     

60.190.232.0               0.0.0.255    255.255.255.0       
60.190.241.0               0.0.0.255    255.255.255.0       
66.94.228.0                0.0.0.255    255.255.255.0       
66.218.72.0                0.0.0.255    255.255.255.0       
69.147.112.0               0.0.0.255    255.255.255.0       
112.125.0.0              0.0.255.255    255.255.0.0         
119.42.224.0              0.0.31.255    255.255.224.0       
121.0.16.0                0.0.15.255    255.255.240.0       
122.224.126.0              0.0.0.255    255.255.255.0       
124.40.41.0                0.0.0.255    255.255.255.0       
182.92.0.0               0.0.255.255    255.255.0.0         
202.43.216.0               0.0.1.255    255.255.254.0       
202.160.176.0             0.0.15.255    255.255.240.0       
202.165.96.0               0.0.7.255    255.255.248.0       
202.165.104.0              0.0.3.255    255.255.252.0       
203.84.197.9                 0.0.0.0    255.255.255.255     
203.209.224.0             0.0.31.255    255.255.224.0       
209.191.64.0              0.0.63.255    255.255.192.0       
